Detailed_Fields_Key,Detailed_Fields,Field_Description,Detailed_Fields_Date
f22536b27f950a8a3aaaf67eb47f777f,060705,Dental Technology,2024-07-11
d6f2ddc674cad3ce8855d74bbb6c1069,060799,"Dental Studies, n.e.c.",2024-07-11
e9c9e07cc52d7a0e19c8c03f9651dfe5,060901,Optometry,2024-07-11
85e94733d58a14175cad9a6fa7a419d6,060903,Optical Technology,2024-07-11
a8689a335243b88babe39bc83813d662,060999,"Optical Science, n.e.c.",2024-07-11
0aefc6022ac50ef73a74b302f002b685,061101,Veterinary Science,2024-07-11
bbbd0590916279d3cfb4bcaf03135233,061103,Veterinary Assisting,2024-07-11
8923df1e40f184e0433fe0d74669a9b2,061199,"Veterinary Studies, n.e.c.",2024-07-11
f8114e03be9b1b296f6a64a1c2754b33,061301,Occupational Health and Safety,2024-07-11
3c130dab87f1c4aea94faa87dd504985,061303,Environmental Health,2024-07-11
b41c034ad2fc5978fb1b92bdd0bb61c8,061305,Indigenous Health,2024-07-11
807b4eabcbd88e3fc99e10912b8f4ceb,061307,Health Promotion,2024-07-11
9584edb3e8a5715ddf770452ac08a1e8,061309,Community Health,2024-07-11
48bf3f8aa80c49498d4d315c4515915c,061311,Epidemiology,2024-07-11
367b063692ad38b0718f756afc2a79f4,061399,"Public Health, n.e.c.",2024-07-11
33306001932a4ff056df6cd9794322f4,061501,Radiography,2024-07-11
ec7f9c60e2ef299cf0a8498692377c4f,061701,Physiotherapy,2024-07-11
dae0b30219235bfcbde78c18e550b943,061703,Occupational Therapy,2024-07-11
5f7e779693ac68dd27dc0080e1b6da21,061705,Chiropractic and Osteopathy,2024-07-11
96abcaafa9b6fc75906784e476f370f3,061707,Speech Pathology,2024-07-11
c2ac38c4ae27d4634783709e0c900091,061709,Audiology,2024-07-11
d3711c33143a24b7066735843b4049c9,061711,Massage Therapy,2024-07-11
57528a7dcc6a48df6a907619da890a3f,061713,Podiatry,2024-07-11
a59a526a84d87640d4653ba08aaab790,061799,"Rehabilitation Therapies, n.e.c.",2024-07-11
225ff0180d0c9f9e5e2910eb8894da4b,061901,Naturopathy,2024-07-11
f8ae33f4c7c464dfbb62ddf7bd6d1c76,061903,Acupuncture,2024-07-11
18b97cb9ce4661ab46ab18398188436c,061905,Traditional Chinese Medicine,2024-07-11
cf9fedebbfe254411dff885de57ca16e,061999,"Complementary Therapies, n.e.c.",2024-07-11
3c6de93ab975078aed1b0f4d622070ef,069901,Nutrition and Dietetics,2024-07-11
5f82b18cb1701f09e5ebb6421c28b1cb,069903,Human Movement,2024-07-11
347811d21d0e70b8e399d5a20c4ebbec,069905,Paramedical Studies,2024-07-11
7b316a1f52eb16e3241d9dca4ce37fe6,069907,First Aid,2024-07-11
03eae8cd045a34c26a4f4e88ab6f9dad,069999,"Health, n.e.c.",2024-07-11
9d61f0694b761a3cdd70de0fd49dfd26,070101,Teacher Education: Early Childhood,2024-07-11
be0d7c1de72795ecba882988152bf30b,070103,Teacher Education: Primary,2024-07-11
db0950a0a9ad0ab3821818f5db1ce41f,070105,Teacher Education: Secondary,2024-07-11
77e03b5ee9b1840a550e035c8e3f0134,070107,Teacher-Librarianship,2024-07-11
d7a1cc10838020f47e09f15d75b9bc9c,070109,Teacher Education: Vocational Education and Training,2024-07-11
c928b2f8b12dc13bc4102579512bf47f,070111,Teacher Education: Higher Education,2024-07-11
6f51cd71537a825c90d09d06cbb7b70f,070113,Teacher Education: Special Education,2024-07-11
cf12987e51be235d0ce92dbf4989794f,070115,English as a Second Language Teaching,2024-07-11
1fa2a034fbbdc94bb8fc99cf299e6611,070117,Nursing Education Teacher Training,2024-07-11
879aecfc216ce38f648671e47f2527f0,070199,"Teacher Education, n.e.c.",2024-07-11
59c8620b99067b42fdeb756fb3f775fa,070301,Curriculum Studies,2024-07-11
c860b6319daa3893a841b5a99900b3f0,070303,Education Studies,2024-07-11
ab748f614dcafd8a3a0ca35c6fc83e4a,079999,"Education, n.e.c.",2024-07-11
99320cd550201ba42fc26a5faf280b81,080101,Accounting,2024-07-11
0e983a807bc0e01ea258e0e9652868d1,080301,Business Management,2024-07-11
5cb14243cc7e31589705b27d894a5286,080303,Human Resource Management,2024-07-11
a13d4d2c6996cf2d41c14efea3ce857c,080305,Personal Management Training,2024-07-11
e2c87c941bc1574bced3090e6263775f,080307,Organisation Management,2024-07-11
f118f3620aa55acea58e5d17b5518015,080309,Industrial Relations,2024-07-11
0efc0ffed3cb555c9701b72ac09b005d,080311,International Business,2024-07-11
43cb4e830b37c8ba72f9686ed3f5d660,080313,Public and Health Care Administration,2024-07-11
216efee88130bd62b289d4faa7172917,080315,Project Management,2024-07-11
0e161962b782ce62d4a41e8aa7fed7ac,080317,Quality Management,2024-07-11
7e70fa4ad86bb232d4711b2a7727087f,080319,Hospitality Management,2024-07-11
37462b8a5466228e55d0fdc3503f97ac,080321,Farm Management and Agribusiness,2024-07-11
9ffe52e7ac9dbccb51cdb86aeeb5759a,080323,Tourism Management,2024-07-11
69fb865eaf5acc4f23cd3f3b64dc108b,080399,"Business and Management, n.e.c.",2024-07-11
e8e7e5ffdd21ce6514d8fc6a41fcf64e,080501,Sales,2024-07-11
7071efad34b3b8a8fa6bd0388e0d42d2,080503,Real Estate,2024-07-11
2f01a92df463560ccb068ca2784ac4c3,080505,Marketing,2024-07-11
25df45f90c21a9b0c8655b4e0b4448a9,080507,Advertising,2024-07-11
109f6812847069b30f33518acbf5167b,080509,Public Relations,2024-07-11
fedd095e2db02ccde47cd73faaaef0ee,080599,"Sales and Marketing, n.e.c.",2024-07-11
3dacd73b6b58e90227d3fa276eedb51e,080701,Tourism,2024-07-11
6aeee6e604c7ccc64f9215847c0a1dce,080901,Secretarial and Clerical Studies,2024-07-11
1e0ca144a3d31a24b0d54a9da3ab052c,080903,Keyboard Skills,2024-07-11
fd2c23dbbb2552e44518bae19393f94b,080905,Practical Computing Skills,2024-07-11
59585f0950b7af71cc2fe08f18ec6ece,080999,"Office Studies, n.e.c.",2024-07-11
ab674826a96014535d140e49398fc5ad,081101,Banking and Finance,2024-07-11
3d7d8068289b484783aaff8dd2d60f78,081103,Insurance and Actuarial Studies,2024-07-11
546639220bbbd2c27e26555368aef58d,081105,Investment and Securities,2024-07-11
e56dcbb8ed1c7017ca7fcf48f92cda82,081199,"Banking, Finance and Related Fields, n.e.c.",2024-07-11
d2e53ef74a97e19043fe1b1137f0f27d,089901,"Purchasing, Warehousing and Distribution",2024-07-11
672fd1ba1f011b8a668174f71671b9b6,089903,Valuation,2024-07-11
f069ce68002bb3ff9f78a811765339dc,089999,"Management and Commerce, n.e.c.",2024-07-11
86b5d27fe61e1eb13b5c267952a90cd3,090101,Political Science,2024-07-11
952668465e3ab067e25128b26fbb47a5,090103,Policy Studies,2024-07-11
646479b3e071134e0f9d6403a756eb3c,090301,Sociology,2024-07-11
6a0591c714d75a5f89db6d93499c36dd,090303,Anthropology,2024-07-11
8d118e01c6f41867cb45afb04d663b57,090305,History,2024-07-11
5cb50eae6681f0e786cac913b6836c84,090307,Archaeology,2024-07-11
4c98c80915e20c17f8a492235dba4ed3,090309,Human Geography,2024-07-11
d0102ed58572e4f3f3181f17e3238651,090311,Indigenous Studies,2024-07-11
63cbd95c95a8bb4930b736212ed649a2,090313,Gender Specific Studies,2024-07-11
6942c25d7d5a5732284f8881580be8ca,090399,"Studies in Human Society, n.e.c.",2024-07-11
db19c71c2697a87572f99525ed1d689b,090501,Social Work,2024-07-11
451608e9c3799d93b10428e83be177e4,090503,Children's Services,2024-07-11
e9fc1b668f797dea6d2e0137707d9e9d,090505,Youth Work,2024-07-11
35fa6c729284b3b12a0ff337ad7d0e3f,090507,Care for the Aged,2024-07-11
214c2f2a4c2a22ecce61e34d41f7a56d,090509,Care for the Disabled,2024-07-11
d69b7e03e8439f9fb29e4a205c3d3957,090511,Residential Client Care,2024-07-11
3e3d45ebdf103a1e1f530b653ead21c8,090513,Counselling,2024-07-11
f94e47dc8a6e13a6054f9b6446a36426,090515,Welfare Studies,2024-07-11
a8ae69724afa451b1125ae00ffb7f0d8,090599,"Human Welfare Studies and Services, n.e.c.",2024-07-11
411a71067b25f0f7019a09d302ed1a1a,090701,Psychology,2024-07-11
bd201b931a7e0b6ded32ec393088da38,090799,"Behavioural Science, n.e.c.",2024-07-11
cbfe2b319ce81c51ff2f9c8e8be886ca,090901,Business and Commercial Law,2024-07-11
e8a4e739caafb20da514482766343688,090903,Constitutional Law,2024-07-11
dd8f4040135a31b7a9f8cc8f6f1c62f6,090905,Criminal Law,2024-07-11
c48bb5615b74374a90ce99341e9b2454,090907,Family Law,2024-07-11
888e931d6360ee143df0d552f955299a,090909,International Law,2024-07-11
3db47d40b3c8735b0856874bd2e6105b,090911,Taxation Law,2024-07-11
b35d8b0a25e54d9804f659f0af8202ce,090913,Legal Practice,2024-07-11
bdeddbcfded97560353eb8d5280352e1,090999,"Law, n.e.c.",2024-07-11
4702be1b8cca9b45e20118fc3c0e76fc,091101,Justice Administration,2024-07-11
4aa502101e76120a49780020b623e0ce,091103,Legal Studies,2024-07-11
aefd3da9ba76c2248400d8ffd9a2d15d,091105,Police Studies,2024-07-11
848c912876c007bd469be40b5b3a6c4b,091199,"Justice and Law Enforcement, n.e.c.",2024-07-11
8ff4e6f25f4a4cbefe6b9facef249a7a,091301,Librarianship and Information Management,2024-07-11
892fc2c93744845e96d8429b0c3d5fd0,091303,Curatorial Studies,2024-07-11
eb1940ec5ff6b7477ed2a5434d5e83e7,091501,English Language,2024-07-11
3d88630c74b18ab2cc2ad706d97a3ce1,091503,Northern European Languages,2024-07-11
6e8c769183a07419a27f716a5c1576e9,091505,Southern European Languages,2024-07-11
b05abac018287f38cee44741f33d48ad,091507,Eastern European Languages,2024-07-11
8b040eb0a474a1a5d806207ff0dff4d8,091509,Southwest Asian and North African Languages,2024-07-11
b00a55f7d320da7bf442cf280d6dca8c,091511,Southern Asian Languages,2024-07-11
d6e3b07e387fd3a3182db1054d3860c5,091513,Southeast Asian Languages,2024-07-11
15928b71d0854b1e5d905d448d37433f,091515,Eastern Asian Languages,2024-07-11
29f259b71502d243257ae2f137c76980,091517,Australian Indigenous Languages,2024-07-11
aedb145625c37efec455866c35847eea,091519,Translating and Interpreting,2024-07-11
76ef2e4e9eec40542b8c23808ad9f4e2,091521,Linguistics,2024-07-11
6d996e98f1eedaa5e2fd77541175e6e5,091523,Literature,2024-07-11
9f11514419e3ed5b3fa7ecc9eb0d1ee5,091599,"Language and Literature, n.e.c.",2024-07-11
7d7fa3dc3cb3d40e807f6337c36778f3,091701,Philosophy,2024-07-11
d4d746b44971e51033e9b90a4a4ff121,091703,Religious Studies,2024-07-11
945597847e68aa4df3a108a429c54700,091901,Economics,2024-07-11
98e2bc607dc83c9ccfdfcb9e43f02090,091903,Econometrics,2024-07-11
f1ffb0c365a6a6fc0cc6b7595f72781f,092101,Sport and Recreation Activities,2024-07-11
c2c58b7594896f44325342a410771f48,092103,"Sports Coaching, Officiating and Instruction",2024-07-11
ff3591e182ee9555fc2d9a3134a8ec1e,092199,"Sport and Recreation, n.e.c.",2024-07-11
8b7ae701f2bd683746d095ece8a3e518,099901,Family and Consumer Studies,2024-07-11
18a6787ac0d1997baed53013094e4c95,099903,Criminology,2024-07-11
b9dda1b28eeb87cf1ebd4d02e4b7981c,099905,Security Services,2024-07-11
6b53ace746d0c1d825d2d185f47a48a9,099999,"Society and Culture, n.e.c.",2024-07-11
732e276ec85f14e663faef225d06612c,100101,Music,2024-07-11
9ae26ff44c264acff8eab84ba2950d57,100103,Drama and Theatre Studies,2024-07-11
123faaaa42b5d902e8873b4b91a21acf,100105,Dance,2024-07-11
ff1a4f97d6927a2cceacc68d02b7d78d,100199,"Performing Arts, n.e.c.",2024-07-11
a6061a0c10b13bf3faf1373a525505c9,100301,Fine Arts,2024-07-11
650d74a05a062a411624372c0cce414d,100303,Photography,2024-07-11
bdb30dc382b1d55ab23d56c91abe4a26,100305,Crafts,2024-07-11
2ee0846f77396487a46ed283a837e235,100307,Jewellery Making,2024-07-11
d709ac8e1ed393d036c895d239d825a4,100309,Floristry,2024-07-11
518fa0d4eb2707f289b2904bfb72bdda,100399,"Visual Arts and Crafts, n.e.c.",2024-07-11
8e30032004d7744a9e3c33e8e81471ec,100501,Graphic Arts and Design Studies,2024-07-11
9015e536b1458c33bd7f595a7c832b5e,100503,Textile Design,2024-07-11
a29e9f52618353450557f9103ce33287,100505,Fashion Design,2024-07-11
87e9345183a4d8ed7a85fbcac1204d54,100599,"Graphic and Design Studies, n.e.c.",2024-07-11
416d07c6075b83e829f5caa29891cdf2,100701,Audio Visual Studies,2024-07-11
c3ddc652121ed52263209f0e97b3c7b0,100703,Journalism,2024-07-11
17e6c7f351e85c9f93230308992261c9,100705,Written Communication,2024-07-11
b0aff3fb5783809bc8d18db186fb18aa,100707,Verbal Communication,2024-07-11
9321f807a30feeaa0fe17c312d4dd05a,100799,"Communication and Media Studies, n.e.c.",2024-07-11
713246619141f1cad5f76bf60b3524a7,109999,"Creative Arts, n.e.c.",2024-07-11
f824ea3cd7cea49116eda11b5d23f9b0,110101,Hospitality,2024-07-11
3586c5f502326fb5b0de4dac631a4264,110103,Food and Beverage Service,2024-07-11
7b82193d6c342263b39b3df310528e7d,110105,Butchery,2024-07-11
3e5a97535eb995ac37440de576bad189,110107,Baking and Pastrymaking,2024-07-11
d738f1706111463f3be183c20ab5d3dd,110109,Cookery,2024-07-11
5fc325ecd052e3aa47e063d954591ce9,110111,Food Hygiene,2024-07-11
a7be7d1bbbaef5d3f9e15ecdb9fb396a,110199,"Food and Hospitality, n.e.c.",2024-07-11
ec080e840b992bdccf8546d73139add2,110301,Beauty Therapy,2024-07-11
78ad6508f8a917a3310646717fe21d17,110303,Hairdressing,2024-07-11
81a14b188350f0f669f6d2262b8f0a26,110399,"Personal Services, n.e.c.",2024-07-11
1bc92b99fd45cc2e89907ad2770c2746,120101,General Primary and Secondary Education Programmes,2024-07-11
a51b3994cd40ae08fdd0ea9c6aeb5ac0,120103,Literacy and Numeracy Programmes,2024-07-11
10132a1847d88a1c2969d9df9e49a630,120105,Learning Skills Programmes,2024-07-11
b4b8c4f77387af3f66d12a8cb1934ff8,120199,"General Education Programmes, n.e.c.",2024-07-11
e7a5e745eac1b6b904cff9aff773e4b7,120301,Social and Interpersonal Skills Programmes,2024-07-11
98142492b9236b8c1fe2a59f4d080e40,120303,Survival Skills Programmes,2024-07-11
68404a449bcc7f11193b836f48e9179c,120305,Parental Education Programmes,2024-07-11
651b6bae2e682d7e2a54949b77ab94b1,120399,"Social Skills Programmes, n.e.c.",2024-07-11
206f315125926725415fc1e92408f361,120501,Career Development Programmes,2024-07-11
146e6ff879d04651b5a36fbc7347763b,120503,Job Search Skills Programmes,2024-07-11
fc28dd210d52ecb0135730aa1d151b1b,120505,Work Practices Programmes,2024-07-11
ff201acd61d426da2dd3aeb462369e1a,120599,"Employment Skills Programmes, n.e.c.",2024-07-11
e4cb6a6d0efa028bb4558bd1db94e164,129999,"Mixed Field Programmes, n.e.c.",2024-07-11
